CP5 CP6 TP7 TP8 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
-0.2665356 -0.5523957 -2.677169 -1.239068 -2.436281 -1.930071 -4.570524 -4.149267 1.013044 -0.182662 -1.841201 -2.176138 -0.3767877 0.1340391 1.623346 -52.10421
-0.2100283 -0.7421981 -2.532773 -1.520609 -2.424459 -2.089676 -4.088092 -4.00266 1.203826 0.06397129 -1.603051 -2.11133 -0.1929818 0.3503999 1.804032 -50.1002
-0.1551289 -0.9878563 -2.366052 -1.872214 -2.401062 -2.269445 -3.48283 -3.846836 1.430145 0.4827105 -1.312149 -2.055617 0.08725911 0.6561679 2.05145 -48.09619
-0.09670506 -1.291789 -2.274173 -2.277577 -2.406689 -2.460093 -2.968111 -3.648819 1.694247 0.8542693 -1.05542 -2.000869 0.5464771 1.026066 2.438078 -46.09219
-0.0200184 -1.642173 -2.236165 -2.765721 -2.417318 -2.633763 -2.588983 -3.393669 2.034839 1.130725 -0.776046 -1.918414 1.082356 1.399377 2.907612 -44.08818
0.02174459 -2.042613 -2.26376 -3.188863 -2.375598 -2.899573 -2.252368 -3.244768 2.420429 1.403874 -0.4290003 -1.939653 1.677869 1.877054 3.441563 -42.08417
0.03294639 -2.473545 -2.321241 -3.500263 -2.284463 -3.098385 -1.891831 -3.095046 2.809367 1.671959 -0.01583452 -1.866344 2.304108 2.374397 3.996749 -40.08016
0.04092428 -2.81331 -2.393145 -3.799392 -2.081424 -3.165829 -1.460337 -2.903021 3.239393 1.973909 0.4889849 -1.598847 2.954147 2.940276 4.614054 -38.07615
0.09117583 -3.124928 -2.506695 -3.932832 -1.858255 -3.173226 -1.066788 -2.803606 3.575089 2.155707 0.9480735 -1.267104 3.564694 3.387341 5.164244 -36.07214
0.2046933 -3.421054 -2.572735 -4.143356 -1.621648 -3.301152 -0.7052321 -2.929185 3.896307 2.316054 1.328555 -1.059264 4.10191 3.808938 5.586437 -34.06814
0.2783426 -3.671444 -2.597486 -4.23683 -1.412427 -3.443578 -0.363919 -3.061435 4.177445 2.320515 1.58212 -0.8391352 4.507123 4.111696 5.865588 -32.06413
0.3216338 -3.875555 -2.555063 -4.281059 -1.196663 -3.580154 -0.1185559 -3.175105 4.365469 2.211405 1.711482 -0.6502924 4.840026 4.292641 6.068799 -30.06012
0.3629824 -4.024076 -2.463594 -4.298495 -0.9368946 -3.6565 0.07571398 -3.206295 4.538571 2.118433 1.831391 -0.5005819 5.122113 4.442987 6.258792 -28.05611
0.460368 -4.18661 -2.355222 -4.336023 -0.6684266 -3.591842 0.2659643 -3.045457 4.703679 2.009925 2.001753 -0.2805757 5.421156 4.489824 6.458861 -26.0521
0.5869803 -4.391146 -2.205448 -4.505671 -0.4203483 -3.619383 0.5091078 -2.913106 4.872707 2.052021 2.283156 -0.1638724 5.790016 4.630382 6.694831 -24.0481
0.6585247 -4.541042 -2.068953 -4.608578 -0.2115124 -3.568913 0.7431759 -2.61644 5.083746 2.141143 2.642096 0.06353541 6.140444 4.775825 6.951013 -22.04409
0.6465196 -4.631207 -1.954469 -4.712615 -0.01592267 -3.453099 0.887471 -2.189572 5.259758 2.24326 3.045541 0.3622912 6.466649 4.887057 7.213421 -20.04008
0.5821882 -4.690749 -1.877175 -4.786965 0.1293426 -3.285386 0.9384381 -1.686556 5.382834 2.347865 3.469679 0.6888725 6.807111 4.988026 7.482477 -18.03607
0.4613589 -4.699125 -1.857497 -4.840135 0.2005305 -3.121507 0.990343 -1.208898 5.489963 2.592288 3.866969 0.9598365 7.149427 5.228212 7.758625 -16.03206
