PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
27.90046 6.440629 6.866071 24.07779 0.1877274 21.23972 0.7533816 -11.37592 -15.28397 6.756208 122.2445 108.2164 120.2405 124.2485 108.2164 108.2164 124.2485 108.2164 124.2485 116.4551 2 1 20
1.998754 24.46224 3.141841 27.41068 15.80198 30.02278 -9.913832 22.57228 7.950228 13.71633 112.2244 124.2485 110.2204 112.2244 124.2485 108.2164 124.2485 108.2164 124.2485 116.4551 2 1 23
-19.45103 -10.61843 -14.57868 -25.20992 10.64342 -13.98368 10.50668 2.77455 -3.280863 -7.021994 124.2485 124.2485 124.2485 124.2485 116.2325 124.2485 116.2325 116.2325 116.2325 120.6858 2 1 26
-0.3030747 -18.2169 -15.77724 -11.88555 0.04881426 -5.108941 7.827578 -6.387708 2.752067 -5.227883 124.2485 124.2485 124.2485 124.2485 114.2285 124.2485 122.2445 114.2285 108.2164 120.0178 2 1 30
-9.221546 8.538989 -9.890156 3.418901 1.867298 25.30357 -13.12509 26.5185 -5.118165 3.143589 108.2164 110.2204 124.2485 124.2485 108.2164 124.2485 108.2164 108.2164 108.2164 113.7831 2 1 32
1.581698 2.016819 4.624599 1.531269 -7.596968 -7.755201 1.115613 -4.915138 -5.862856 -1.695574 124.2485 122.2445 124.2485 124.2485 124.2485 124.2485 124.2485 108.2164 124.2485 122.2445 2 1 36
0.4850305 0.8377214 0.9502175 6.217436 25.27066 17.00449 16.94393 9.03126 16.34688 10.34307 110.2204 108.2164 124.2485 116.2325 110.2204 112.2244 108.2164 112.2244 108.2164 112.2244 2 1 44
-1.336887 -6.373377 2.891674 2.419202 -0.4387826 3.180495 -2.55915 -9.511217 4.803169 -0.7694303 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 2 1 47
-25.38351 -17.38813 -25.82971 -19.43985 -35.99381 -27.53264 -46.5753 -22.68874 -16.96305 -26.42164 124.2485 122.2445 122.2445 122.2445 124.2485 124.2485 124.2485 120.2405 108.2164 121.3538 2 1 48
6.054104 -1.955884 4.070307 1.615625 0.9010638 -3.976901 -4.122778 1.391354 9.895028 1.541324 124.2485 108.2164 124.2485 124.2485 120.2405 124.2485 108.2164 108.2164 120.2405 118.0138 2 1 50
