Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
-2.134739 1.332231 0.4149157 -0.6224788 -0.3553925 -0.5613266 -0.7597044 -1.057728 -0.4955357 -0.695495 -0.4427037 0.4898738 -1.777784 -1.656426 -0.05035985 -1.525427 -1.302773 -1.170813 1.570882 -0.01330858 -1.848144 -1.267134 0.5816687 2.145469 3.560101 2.072675 -1.899247 -1.264411 0.0288456 1.755565 0.9483421 1.832257 3.015778 -1.586967 -1.05038 0.01635463 0.796021 -0.8923556 -1.273771 -1.958766 -136.2726
-1.809913 1.29495 0.6052808 -0.5253729 -0.2783964 -0.6933271 -0.6731958 -0.7883388 -0.1720821 -0.6171055 -0.2371482 0.6194984 -1.604477 -1.585479 0.0321734 -1.337809 -1.131948 -0.9930708 1.693235 0.09361398 -1.902844 -1.244308 0.4187978 2.038659 3.23672 1.967393 -2.004877 -1.428083 -0.1713998 1.414822 0.8815225 1.365738 3.155414 -1.866889 -1.116066 -0.2652957 0.7949191 -1.094426 -1.269158 -1.963957 -134.2685
-1.24195 1.167987 0.7546304 -0.3371864 -0.1459887 -0.7874197 -0.532787 -0.5145484 0.07533873 -0.5432289 0.01528325 0.6279961 -1.294511 -1.489842 0.1242027 -1.09159 -0.8916644 -0.8211449 1.738236 0.3420107 -1.885274 -1.187327 0.2944983 1.874779 2.848104 1.842099 -2.103932 -1.544057 -0.4643499 1.072824 0.7903427 1.001073 3.139288 -2.097151 -1.287555 -0.5069767 0.7358691 -1.326545 -1.369921 -2.024835 -132.2645
-0.5734479 1.106037 0.8771453 0.002153404 0.04950514 -0.7764188 -0.2340181 -0.1972525 0.2829361 -0.4441575 0.2300411 0.6838066 -0.996781 -1.373725 0.2081552 -0.830551 -0.6579343 -0.6837556 1.746827 0.6715288 -1.860692 -1.148042 0.2215542 1.675555 2.446257 1.688433 -2.196623 -1.643103 -0.7329047 0.7510663 0.660619 0.6435137 3.011293 -2.312533 -1.485004 -0.7821375 0.6149524 -1.692564 -1.540679 -2.23488 -130.2605
0.2753243 1.265167 0.9088835 0.3109762 0.2801906 -0.6751257 0.1959466 0.1064571 0.4371973 -0.3150486 0.4871994 0.7804201 -0.7591974 -1.281208 0.259712 -0.5893829 -0.4566728 -0.562127 1.780426 0.9536927 -1.839172 -1.166149 0.1832992 1.467311 2.080543 1.489103 -2.297622 -1.754964 -0.9566219 0.4496882 0.549198 0.2615699 2.810675 -2.601641 -1.650217 -1.110556 0.4525518 -2.182728 -1.723855 -2.565802 -128.2565
1.354896 1.730993 0.931125 0.4553376 0.4898141 -0.5823382 0.593885 0.4056544 0.5592329 -0.2536313 0.8873235 0.8508875 -0.5052956 -1.26641 0.2635046 -0.3960087 -0.2710589 -0.4389717 1.868203 1.19213 -1.811115 -1.229662 0.1795205 1.257433 1.799139 1.340361 -2.386659 -1.898001 -1.141131 0.1489399 0.5260106 -0.1171957 2.528195 -2.976195 -1.819276 -1.470876 0.2986329 -2.701484 -1.928735 -2.973678 -126.2525
1.710418 2.003849 1.02763 0.6555396 0.6859425 -0.4812563 0.951723 0.6120711 0.7637948 -0.2003713 1.376464 0.9410807 -0.1268201 -1.20763 0.3150769 -0.1879932 -0.05423579 -0.3768448 1.953187 1.465479 -1.756817 -1.305973 0.2122661 1.081084 1.623559 1.310594 -2.461793 -1.979515 -1.288658 -0.07934158 0.5200734 -0.3994044 2.148194 -3.270756 -2.007793 -1.781295 0.1158765 -3.146073 -2.120763 -3.34373 -124.2485
2.354837 2.384606 1.149567 0.9841374 0.8865738 -0.3765111 1.16082 0.7406139 1.077375 -0.06913112 1.758944 1.020908 0.3320483 -1.174205 0.424214 0.05563842 0.2371817 -0.3325618 1.95761 1.745234 -1.661507 -1.366998 0.2173412 0.9095082 1.433322 1.205163 -2.535438 -2.073563 -1.473405 -0.2845258 0.4294381 -0.6614949 1.684926 -3.570017 -2.222503 -2.134288 -0.133444 -3.470855 -2.305121 -3.672637 -122.2445
2.42058 2.450047 1.265763 1.474276 1.097456 -0.141272 1.351346 0.7796749 1.440328 0.2787413 2.059286 0.9871506 0.8518522 -1.140299 0.6032492 0.299727 0.5734208 -0.339819 1.865204 1.998771 -1.546084 -1.404729 0.1917021 0.7650315 1.215068 1.154926 -2.584516 -2.104279 -1.570961 -0.4714991 0.3749324 -0.8670469 1.347337 -3.776159 -2.426014 -2.496041 -0.2640449 -3.72393 -2.475155 -3.922916 -120.2405
2.630265 2.472759 1.264295 1.838518 1.26595 0.210865 1.475315 0.7347949 1.740675 0.6679727 2.256843 0.82277 1.33863 -1.059469 0.7759671 0.5328535 0.9041485 -0.3310214 1.737568 2.221403 -1.431534 -1.424727 0.1906528 0.6608399 1.033159 1.101959 -2.589175 -2.113591 -1.644936 -0.6317319 0.3101086 -1.095844 1.06158 -3.945404 -2.551525 -2.834064 -0.349176 -3.974632 -2.598084 -4.143135 -118.2365
2.410544 2.389325 1.220036 2.022916 1.40038 0.6601838 1.546073 0.5993139 2.020794 0.9270042 2.316321 0.6581857 1.715929 -0.9637755 0.9272139 0.7325059 1.192066 -0.3067234 1.606439 2.418138 -1.303338 -1.431332 0.2635364 0.6028894 0.9530451 1.143884 -2.507096 -2.039638 -1.650569 -0.7230991 0.2679808 -1.309917 0.7809668 -4.0079 -2.610065 -3.100709 -0.4452083 -4.164478 -2.66705 -4.259922 -116.2325
1.696103 2.115491 1.202993 2.160646 1.51095 1.106905 1.627478 0.4197499 2.261385 1.041128 2.133251 0.5749655 1.916221 -0.8726829 1.044765 0.88029 1.409855 -0.3106789 1.449682 2.557959 -1.162024 -1.43887 0.3841512 0.5912675 0.9204744 1.181458 -2.360562 -1.910204 -1.619005 -0.7349904 0.2767406 -1.434508 0.555705 -3.986521 -2.60615 -3.262207 -0.5320161 -4.264621 -2.669701 -4.270397 -114.2285
1.331806 1.977745 1.310965 2.356303 1.628408 1.415843 1.637037 0.3196159 2.465801 1.03684 1.684146 0.6033208 1.960791 -0.7760336 1.126753 1.007455 1.567972 -0.2808351 1.300264 2.525139 -0.9851457 -1.395192 0.4975694 0.5344312 0.8716834 1.24937 -2.158596 -1.764727 -1.632618 -0.7336608 0.2252019 -1.500382 0.2855411 -3.953067 -2.621897 -3.384388 -0.6844862 -4.279932 -2.673862 -4.222259 -112.2244
0.894756 1.755853 1.495557 2.607693 1.754513 1.582319 1.630439 0.2059362 2.654514 1.042323 1.158395 0.6746578 1.978907 -0.5646604 1.247515 1.180582 1.678142 -0.2118798 1.206625 2.402248 -0.806433 -1.294913 0.5778894 0.4833872 0.7810024 1.356221 -1.982655 -1.633619 -1.65491 -0.7374462 0.1770857 -1.572225 0.02395276 -3.940022 -2.658035 -3.501516 -0.8115833 -4.267157 -2.692046 -4.190677 -110.2204
0.5543559 1.576943 1.683884 2.7879 1.872923 1.670748 1.657949 0.1464315 2.777551 1.060494 0.7527521 0.6856312 1.960302 -0.3252629 1.40336 1.412371 1.745508 -0.07215511 1.208071 2.335118 -0.6421242 -1.181472 0.5954465 0.4917185 0.6250386 1.471667 -1.844183 -1.525785 -1.668867 -0.7814445 0.1063182 -1.647524 -0.3132686 -3.939371 -2.707058 -3.649444 -0.9599389 -4.212524 -2.71962 -4.169523 -108.2164
0.1843112 1.320042 1.772917 2.798302 1.967147 1.728335 1.743526 0.1954685 2.759782 1.06182 0.5996538 0.682291 1.884024 -0.05759896 1.571246 1.652707 1.781669 0.09586383 1.24303 2.367183 -0.5013423 -1.08879 0.528572 0.5366834 0.4372178 1.656494 -1.720412 -1.416974 -1.683626 -0.8728207 0.0699246 -1.652917 -0.6524426 -3.884781 -2.760132 -3.752873 -1.073957 -4.142223 -2.776534 -4.142089 -106.2124
-0.137649 1.046668 1.697569 2.611601 2.034507 1.727989 1.790608 0.2823467 2.608898 1.030532 0.6827536 0.7672664 1.791238 0.2167539 1.750301 1.86808 1.807728 0.3152515 1.251299 2.444299 -0.3326388 -0.9736816 0.4390315 0.6055645 0.2415509 1.729938 -1.557279 -1.289237 -1.661904 -0.9861709 -0.04549364 -1.658605 -1.062954 -3.785583 -2.696446 -3.766921 -1.263727 -4.048923 -2.718271 -4.100765 -104.2084
-0.08259737 0.9034687 1.543265 2.32207 2.080812 1.672121 1.817571 0.3753815 2.394961 0.9688072 0.8592529 0.9241766 1.762217 0.5145652 1.908264 2.025535 1.800783 0.527387 1.226467 2.466367 -0.1289792 -0.8287305 0.390905 0.6121343 0.0964599 1.653569 -1.359367 -1.140903 -1.632939 -1.082743 -0.2372292 -1.748987 -1.570478 -3.688156 -2.633802 -3.698384 -1.550166 -3.974656 -2.675456 -4.060325 -102.2044
0.1180157 0.700091 1.373831 2.057308 2.124801 1.525348 1.812403 0.4419214 2.154593 0.8815135 1.072398 1.086574 1.738844 0.799295 2.038397 2.151658 1.764404 0.7147216 1.166841 2.437298 0.1199568 -0.6366587 0.3907576 0.5679674 0.003605475 1.509969 -1.134728 -0.9330452 -1.605913 -1.145189 -0.4031453 -1.907718 -2.014886 -3.534259 -2.67684 -3.576024 -1.821658 -3.851119 -2.725842 -3.997357 -100.2004
0.2852674 0.3992421 1.230673 1.852831 2.176671 1.345237 1.789908 0.451351 1.852188 0.8141935 1.282236 1.212756 1.661447 1.102362 2.152477 2.329942 1.685776 0.9533338 1.114246 2.395623 0.3992942 -0.3832761 0.4127464 0.5233501 -0.06953989 1.311269 -0.9363411 -0.695304 -1.559876 -1.222697 -0.5692855 -2.139776 -2.362207 -3.335904 -2.669664 -3.473991 -2.092475 -3.681242 -2.767931 -3.924701 -98.1964
0.4421906 0.2243612 1.132734 1.678235 2.272853 1.216885 1.721792 0.465616 1.503003 0.8224019 1.500976 1.255799 1.484378 1.439441 2.29936 2.571177 1.596791 1.262167 1.095412 2.362853 0.6851375 -0.09881128 0.4458558 0.4999293 -0.1682719 1.115947 -0.7659501 -0.4737662 -1.547868 -1.366117 -0.7049506 -2.468045 -2.618218 -3.128185 -2.691389 -3.428514 -2.303119 -3.461311 -2.817272 -3.784828 -96.19238
1.0855 0.4130213 1.041978 1.536229 2.376012 1.15288 1.68091 0.5768414 1.151067 0.8744115 1.70679 1.234632 1.27176 1.701137 2.437339 2.783558 1.508904 1.58841 1.136181 2.267839 0.9302092 0.106834 0.4975311 0.4334983 -0.2352159 0.8192925 -0.6209483 -0.318956 -1.566 -1.521425 -0.8457553 -2.835776 -2.947884 -2.967664 -2.697875 -3.364614 -2.501793 -3.256261 -2.913809 -3.680598 -94.18838
1.25433 0.6084052 0.9580785 1.580672 2.482834 1.186575 1.800239 0.737605 0.9019351 0.9995205 1.911246 1.251497 1.201956 1.918699 2.60912 2.951806 1.429425 1.885731 1.212265 2.130333 1.121823 0.2533158 0.5919595 0.3099807 -0.1890287 0.4970042 -0.4749411 -0.1500778 -1.550197 -1.614436 -1.003132 -3.273193 -3.400993 -2.759148 -2.634742 -3.250441 -2.72042 -3.118887 -3.02535 -3.650311 -92.18437
