PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
22.92437 -13.63305 12.27569 19.37171 -0.7962562 2.431301 19.34581 3.438408 16.87882 9.137424 3 1 12
23.70933 -13.66813 17.78144 14.79043 19.26476 21.98355 20.49859 -4.13833 7.512478 11.97046 3 1 21
10.99061 -2.276311 -5.533183 -8.344748 14.64949 15.50251 31.41508 5.831262 19.5991 9.092647 3 1 25
20.26907 -1.439219 -11.80912 1.363445 1.492198 -2.04658 21.81052 8.700739 5.672127 4.890354 3 1 28
-1.484263 0.2606656 -1.309527 4.114659 25.74354 8.97173 -5.111119 6.400829 -9.598666 3.109761 3 1 29
7.013327 3.687148 9.904226 -0.8295491 20.31977 4.382947 -9.127665 2.226314 9.432886 5.223267 3 1 34
-7.374997 -0.362016 -9.653641 -9.036766 -9.292561 -15.28394 8.692476 -13.53823 -9.204475 -7.228239 3 1 38
7.171521 -12.00427 -9.704197 5.637072 24.97036 12.14565 21.35657 5.591113 -4.974992 5.576536 3 1 39
34.79116 0.2018049 -5.008592 -3.946083 28.22643 26.56528 58.29309 33.41921 -1.2092 19.03701 3 1 41
16.22465 -6.743135 3.98706 11.70572 39.01025 17.5444 26.29387 38.41065 40.13258 20.72956 3 1 43
13.5372 -7.972099 -13.5274 1.638061 -3.418392 22.2204 15.19273 6.626976 3.316924 4.179377 3 1 51
28.82609 -8.266277 19.52381 17.54102 -13.31997 13.78783 -0.9775056 -12.95371 -12.41555 3.527303 3 1 55
-3.292053 1.003693 11.0884 -5.742726 14.31941 -6.480563 0.5644181 -0.1702895 3.04148 1.592419 3 1 57
-0.06236669 11.55676 6.542216 2.053261 -8.185052 -2.925996 -4.665227 -11.31145 -13.03839 -2.226249 3 1 60
12.0221 5.632873 -3.711091 11.07967 7.401004 4.621336 21.79728 0.9916682 -2.166196 6.407629 3 1 64
-11.7775 2.697309 -26.23521 -26.19364 -20.18128 7.89898 -13.52671 -16.38614 -24.55412 -14.25092 3 1 67
-5.047777 -0.7309448 -1.132546 9.400734 8.99747 12.17106 20.39435 1.350246 -0.9572546 4.938372 3 1 70
8.536423 6.165942 -2.966966 6.511346 -8.275641 -8.497767 12.80034 -2.127158 15.41016 3.061853 3 1 75
31.27506 -3.989773 24.74755 17.31772 2.349838 21.04086 25.07453 0.4421396 -2.383 12.87499 3 1 77
34.86014 3.118877 -2.070659 21.69747 34.60023 40.37375 54.62078 34.16382 1.625129 24.77661 3 1 86
-11.58072 5.131987 -8.312094 5.973883 1.169079 5.762787 -8.388119 4.358631 -3.164929 -1.0055 3 1 90
-21.61928 -6.393312 -22.38177 -13.7011 1.300735 -6.176568 5.058224 10.77549 20.01566 -3.680214 3 1 93
19.78811 -6.373714 20.00636 4.543666 24.58161 -0.620362 39.57057 13.05491 29.13531 15.96516 3 1 98
-6.681494 3.84121 -16.45898 -32.48704 -11.55987 -13.77755 -3.189413 -15.47554 -8.87012 -11.62875 3 1 102
