P7_amp TP7_amp CP5_amp ROI_GA_amp P7_lat TP7_lat CP5_lat ROI_GA_lat emotion ID Trial hem
-5.79828 -4.917715 -0.7904686 -3.835487 218.4369 218.4369 218.4369 218.4369 4 1 24 1
15.94837 15.88326 4.719383 12.18367 218.4369 218.4369 218.4369 218.4369 4 1 33 1
-16.6461 -17.80871 9.182683 -8.424046 204.4088 204.4088 218.4369 209.0848 4 1 42 1
-10.18555 -10.72788 17.19653 -1.238966 218.4369 218.4369 218.4369 218.4369 4 1 46 1
1.6353 2.043205 -14.93344 -3.751644 212.4249 212.4249 202.4048 209.0848 4 1 56 1
-2.552415 -2.557114 -6.030914 -3.713481 204.4088 202.4048 202.4048 203.0728 4 1 63 1
8.463875 9.557598 -6.723305 3.766056 202.4048 202.4048 218.4369 207.7488 4 1 78 1
1.546687 1.33894 10.5445 4.476709 218.4369 218.4369 206.4128 214.4289 4 1 83 1
-13.7021 -13.79105 -12.50486 -13.33267 202.4048 202.4048 214.4289 206.4128 4 1 88 1
-1.402335 -3.051319 3.772948 -0.226902 202.4048 202.4048 202.4048 202.4048 4 1 99 1
0.952946 0.4576994 10.44584 3.95216 218.4369 218.4369 218.4369 218.4369 4 1 106 1
11.9281 12.90201 6.187071 10.33906 210.4208 212.4249 212.4249 211.7569 4 1 114 1
-14.83323 -14.6372 4.986039 -8.161462 202.4048 202.4048 202.4048 202.4048 4 1 121 1
-10.87913 -10.71467 -22.11057 -14.56813 202.4048 202.4048 204.4088 203.0728 4 1 126 1
-5.442994 -5.083029 10.86058 0.1115179 218.4369 218.4369 202.4048 213.0928 4 1 133 1
11.77557 11.17752 12.00626 11.65311 202.4048 218.4369 218.4369 213.0928 4 1 140 1
6.094879 6.253042 21.89146 11.41313 202.4048 202.4048 202.4048 202.4048 4 1 145 1
-5.399973 -4.980785 4.990776 -1.796661 218.4369 216.4329 202.4048 212.4249 4 1 156 1
-3.28967 -3.783866 -11.93366 -6.335732 218.4369 218.4369 202.4048 213.0928 4 1 162 1
18.44237 18.57046 0.4083644 12.47373 202.4048 202.4048 210.4208 205.0768 4 1 172 1
16.21525 16.42252 37.07156 23.23644 202.4048 202.4048 218.4369 207.7488 4 1 178 1
-8.578816 -8.80823 6.826406 -3.520214 212.4249 214.4289 212.4249 213.0928 4 1 186 1
-18.30637 -18.33291 -7.146624 -14.5953 216.4329 216.4329 218.4369 217.1009 4 1 195 1
0.2942581 1.724504 3.563395 1.860719 218.4369 218.4369 214.4289 217.1009 4 1 204 1
-31.64025 -23.21755 -24.68309 -26.51363 186.3727 186.3727 186.3727 186.3727 1 2 4 1
-1.012185 19.46927 11.46887 9.975319 192.3848 192.3848 190.3808 191.7168 1 2 6 1
-26.29552 -32.63683 -10.06701 -22.99979 198.3968 192.3848 200.4008 197.0608 1 2 11 1
8.161389 -3.200787 -2.638106 0.7741657 202.4048 196.3928 202.4048 200.4008 1 2 14 1
15.63409 -20.1754 -3.061663 -2.534325 186.3727 192.3848 202.4048 193.7208 1 2 16 1
5.009197 11.11601 -8.485432 2.546593 200.4008 196.3928 202.4048 199.7328 1 2 19 1
-24.36993 -7.37046 -16.07358 -15.93799 186.3727 202.4048 186.3727 191.7168 1 2 22 1
23.15076 28.25298 -5.317007 15.36225 186.3727 186.3727 202.4048 191.7168 1 2 27 1
11.38962 -8.266119 9.441736 4.188412 190.3808 190.3808 202.4048 194.3888 1 2 31 1
-7.255002 -8.289725 -7.64914 -7.731289 202.4048 202.4048 202.4048 202.4048 1 2 35 1
-34.47985 -13.0132 14.29858 -11.06482 202.4048 202.4048 186.3727 197.0608 1 2 37 1
10.73297 28.38286 -2.068353 12.34916 202.4048 202.4048 202.4048 202.4048 1 2 40 1
-5.040789 -14.55642 -18.93116 -12.84279 186.3727 192.3848 192.3848 190.3808 1 2 45 1
7.540501 -6.266117 17.94623 6.406872 186.3727 192.3848 192.3848 190.3808 1 2 48 1
-11.07115 -17.72969 13.45033 -5.116837 192.3848 202.4048 192.3848 195.7248 1 2 52 1
7.544964 2.551423 4.327821 4.80807 186.3727 186.3727 186.3727 186.3727 1 2 53 1
3.224528 3.875222 11.12886 6.076202 186.3727 192.3848 186.3727 188.3768 1 2 57 1
1.272576 11.53891 21.84693 11.55281 200.4008 202.4048 202.4048 201.7368 1 2 60 1
-5.753306 0.5027282 0.8299722 -1.473535 186.3727 194.3888 192.3848 191.0488 1 2 65 1
0.3949512 -20.89028 13.48417 -2.337053 192.3848 186.3727 186.3727 188.3768 1 2 67 1
-33.86819 -41.85989 -16.28592 -30.67133 194.3888 194.3888 192.3848 193.7208 1 2 70 1
-11.06477 -19.37371 -16.11664 -15.51837 202.4048 202.4048 202.4048 202.4048 1 2 73 1
11.21361 14.88025 -9.308341 5.595173 196.3928 194.3888 186.3727 192.3848 1 2 75 1
11.3408 -5.577649 2.827897 2.863683 202.4048 186.3727 186.3727 191.7168 1 2 79 1
-26.95222 -10.31459 -33.10002 -23.45561 188.3768 186.3727 188.3768 187.7088 1 2 83 1
-5.920977 -13.69361 -3.520728 -7.711771 196.3928 196.3928 202.4048 198.3968 1 2 84 1
44.72356 20.63581 29.36284 31.57407 186.3727 200.4008 186.3727 191.0488 1 2 86 1
4.720938 0.99734 20.39145 8.703244 186.3727 202.4048 186.3727 191.7168 1 2 91 1
48.63429 24.77506 43.99933 39.13623 202.4048 198.3968 202.4048 201.0688 1 2 93 1
16.62461 5.942347 35.76944 19.44547 202.4048 202.4048 202.4048 202.4048 1 2 95 1
5.460762 -2.620953 20.9173 7.919034 186.3727 188.3768 186.3727 187.0407 1 2 100 1
8.681297 15.8325 6.120355 10.21138 202.4048 202.4048 202.4048 202.4048 1 2 104 1
18.71633 -3.506968 4.042223 6.417194 186.3727 200.4008 186.3727 191.0488 1 2 106 1
34.15019 37.08066 9.627888 26.95291 202.4048 202.4048 202.4048 202.4048 1 2 110 1
21.2563 -0.8298109 29.35765 16.59471 186.3727 186.3727 186.3727 186.3727 1 2 111 1
0.2577923 6.63647 -4.144523 0.9165799 186.3727 190.3808 186.3727 187.7088 1 2 116 1
20.17881 -15.45082 17.99445 7.574144 186.3727 186.3727 186.3727 186.3727 1 2 118 1
6.482921 16.67817 -5.462812 5.899427 186.3727 186.3727 188.3768 187.0407 1 2 120 1
5.703036 -3.525784 -10.56879 -2.797178 196.3928 194.3888 190.3808 193.7208 1 2 128 1
3.880277 3.031732 -3.28389 1.209373 186.3727 186.3727 192.3848 188.3768 1 2 132 1
-5.32649 -11.96658 1.352142 -5.313643 202.4048 202.4048 202.4048 202.4048 1 2 137 1
5.507028 -14.61626 15.27733 2.056033 186.3727 186.3727 202.4048 191.7168 1 2 139 1
-31.62728 21.1545 -1.955772 -4.14285 200.4008 186.3727 202.4048 196.3928 1 2 145 1
-10.52907 2.678237 -11.02456 -6.291797 190.3808 186.3727 192.3848 189.7128 1 2 146 1
14.51605 1.117393 20.68713 12.10686 186.3727 186.3727 202.4048 191.7168 1 2 151 1
21.07994 -10.40297 5.514892 5.397287 202.4048 190.3808 186.3727 193.0528 1 2 153 1
15.23027 -2.762625 8.145283 6.870975 188.3768 188.3768 186.3727 187.7088 1 2 160 1
6.578172 -5.301001 10.80764 4.02827 200.4008 200.4008 202.4048 201.0688 1 2 162 1
-16.37603 -14.93251 -7.387734 -12.89876 202.4048 202.4048 202.4048 202.4048 1 2 163 1
29.70334 12.46499 11.28224 17.81686 186.3727 198.3968 186.3727 190.3808 1 2 165 1
9.112203 -5.323036 3.912164 2.56711 202.4048 202.4048 198.3968 201.0688 1 2 167 1
-8.505009 5.375492 -27.86556 -10.33169 202.4048 202.4048 202.4048 202.4048 1 2 178 1
-36.878 -15.17863 -15.13244 -22.39636 186.3727 200.4008 186.3727 191.0488 1 2 182 1
6.142468 1.376585 21.63753 9.71886 188.3768 198.3968 186.3727 191.0488 1 2 187 1
-34.22219 -21.5759 -9.798618 -21.86557 190.3808 190.3808 198.3968 193.0528 2 2 1 1
13.58645 19.67501 0.3561568 11.20587 186.3727 186.3727 202.4048 191.7168 2 2 7 1
-46.50448 -32.84274 -28.06755 -35.80492 194.3888 194.3888 188.3768 192.3848 2 2 9 1
2.886412 -3.262669 15.11775 4.913831 190.3808 186.3727 202.4048 193.0528 2 2 15 1
44.73716 2.595265 47.27389 31.53544 202.4048 202.4048 202.4048 202.4048 2 2 17 1
7.065263 21.53194 25.34662 17.98128 186.3727 186.3727 186.3727 186.3727 2 2 20 1
