PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
7.423633 -9.807329 -13.07075 -16.05339 -10.19454 -9.350908 -7.914005 8.813862 -7.846344 -6.44442 2 1 36
20.52066 -24.20076 8.044919 -10.58915 11.8131 -11.74013 44.7377 -19.94265 1.951596 2.288366 2 1 44
1.738542 -7.173394 1.910949 -2.558828 20.05635 -1.03522 36.77821 10.7435 23.95722 9.379704 2 1 47
5.0656 -5.263159 4.333687 27.66053 0.6000977 3.864401 2.601773 -2.287579 -0.3319285 4.027047 2 1 48
9.783028 -3.463578 -5.246391 -1.640667 -3.245242 3.646321 7.761263 -5.491418 20.3341 2.493046 2 1 50
3.776883 14.81736 8.321294 15.11605 4.835893 8.672125 -1.648054 15.12737 -5.987424 7.0035 2 1 52
24.20358 -4.282649 11.48433 9.852921 8.864981 -8.267995 25.50028 -2.762444 4.074224 7.629691 2 1 59
32.39553 5.797608 6.740542 16.91015 14.8395 17.41759 23.66196 3.51625 -13.29982 11.9977 2 1 62
13.08295 -12.95258 -5.6891 -0.3531137 -11.10196 -1.68328 15.78833 -11.82273 -4.797747 -2.169915 2 1 65
6.013284 -17.33557 -4.980441 -2.688763 12.62567 -5.768515 24.19813 5.962907 26.3509 4.930845 2 1 69
9.426062 -0.3522336 8.78917 27.00272 26.45128 12.35308 16.87513 26.33518 20.47821 16.37318 2 1 72
-21.95312 -6.15512 0.9619573 16.07066 5.983067 6.162649 -10.58753 7.874826 -17.1438 -2.087378 2 1 73
24.1816 9.628666 16.71129 29.08367 15.25182 28.42755 26.94493 3.36286 -4.083182 16.61213 2 1 79
-27.27599 -21.82313 -24.28788 -28.64813 -7.149437 -24.28138 -13.11488 -3.644547 7.85963 -15.81842 2 1 81
22.63806 -0.8887845 -10.23666 7.566042 26.63937 31.94019 34.19216 31.16779 15.13926 17.57305 2 1 82
13.1961 -3.615619 6.432765 17.90303 -1.100654 20.12886 9.429858 -0.9161605 4.580237 7.337602 2 1 89
2.698592 19.49866 9.45522 12.19816 -1.875753 -1.605705 -11.48685 -6.078287 -1.734132 2.341101 2 1 91
22.59827 -6.33092 10.56754 4.015783 8.613061 8.417693 21.57229 -1.587781 -17.12002 5.638435 2 1 95
4.980245 -4.773174 13.50884 0.9112175 -1.441363 -13.59719 30.2034 1.889048 7.698416 4.375494 2 1 97
-11.59412 -8.100355 -18.15945 -10.81698 -1.665021 -20.18085 13.36519 2.455836 9.711927 -4.998204 2 1 100
15.64858 -6.935875 4.367634 19.16524 24.06537 28.83647 40.87679 12.54398 6.523065 16.12125 2 1 103
26.70786 -15.74655 -11.65725 9.280649 3.073415 6.415135 29.19602 0.5296392 20.13501 7.548214 2 1 108
8.234439 -0.1863525 22.67769 15.75031 3.479833 6.163165 15.06082 0.5801806 16.51057 9.80785 2 1 110
1.102664 -12.78839 -5.105477 -5.136661 -12.98323 -18.27743 10.13501 -8.67933 4.667629 -5.229467 2 1 115
1.858065 10.80511 -3.140089 2.791971 22.04701 16.11347 9.541063 24.79797 3.477832 9.810265 2 1 116
52.22822 5.779616 27.72704 29.56294 24.14323 26.64832 47.2266 15.7007 13.3366 26.92814 2 1 124
14.60826 -6.68863 1.421273 0.5628033 9.183679 3.820353 5.009083 2.174286 10.47998 4.507898 2 1 127
-1.896431 2.976191 8.075064 12.17323 10.6044 21.6632 15.86602 9.245236 5.672513 9.375493 2 1 129
-6.908815 0.2045074 -1.833751 4.376078 -11.14771 -14.41775 -12.37346 -0.714683 10.12997 -3.631734 2 1 131
42.33398 0.9677834 25.42204 29.86237 5.79832 12.35981 24.89386 11.53207 25.67495 19.87169 2 1 136
16.44596 9.537522 8.343026 11.45961 -10.43881 22.02756 -15.91556 -8.054822 -30.90915 0.2772592 2 1 143
-1.10872 7.930162 -6.719025 5.002118 4.885433 19.27217 12.14029 7.561879 -0.3889603 5.397261 2 1 144
-8.510345 2.986441 3.722674 -7.880561 -11.72036 -2.603713 -4.709946 -6.621449 3.273148 -3.56268 2 1 148
15.79487 1.451367 6.649182 19.33532 20.68203 22.3909 -6.01288 20.15944 -0.6221132 11.09201 2 1 152
8.465149 -2.76979 1.293256 -3.208983 9.772499 6.509254 25.60439 14.36632 26.89095 9.658115 2 1 154
6.510211 -4.156019 -2.098544 -1.477354 -5.167232 -13.98477 19.46108 -1.472171 9.65312 0.807591 2 1 159
13.30901 1.820757 6.042945 0.2558952 -2.970426 5.803625 6.244765 5.63598 4.01407 4.461846 2 1 161
8.526143 -19.97748 -1.104306 -6.729122 -0.3387814 -7.186222 -3.904465 -4.237689 -4.242299 -4.354914 2 1 164
6.849158 -2.353929 -14.14728 -3.921283 27.65224 17.35328 22.89461 34.71252 25.93435 12.77485 2 1 171
3.434897 4.69824 -4.365683 6.836941 14.49277 16.67992 8.597714 19.31176 -6.261768 7.047199 2 1 174
19.26298 10.7369 11.55748 10.01773 19.09285 23.00118 18.20599 18.46094 15.73909 16.23057 2 1 176
10.11026 -6.511275 6.194107 3.916595 7.362547 2.090955 8.198417 -2.263833 -8.735798 2.262441 2 1 180
-2.005549 18.68098 1.119963 4.156968 9.984368 29.07517 -1.030271 13.16597 -10.22651 6.991232 2 1 183
19.62476 8.47142 2.719971 -0.5995189 1.374044 12.23657 22.38089 -4.31809 17.92358 8.868181 2 1 187
25.32374 -11.3979 7.343183 6.793554 16.83842 10.15567 15.22667 12.26909 9.045063 10.1775 2 1 189
21.80794 -2.523357 0.2294166 12.12922 20.7378 25.5551 42.1794 20.02208 11.76035 16.87755 2 1 191
9.703169 -0.1184588 1.137712 14.27198 10.90453 14.12989 -3.796849 15.40661 -7.775931 5.984739 2 1 192
-8.957307 14.94608 2.440917 0.6806255 0.2955214 16.1546 -19.72865 -3.754541 -0.2118044 0.2072715 2 1 196
-1.441367 6.512806 -1.630718 -7.669673 13.43586 12.61239 20.44577 11.29354 -0.4092307 5.905486 2 1 197
-0.3360723 0.3427108 8.533667 4.988286 4.069216 2.761927 -0.1799629 5.08801 -0.5594787 2.745367 2 1 201
-7.708238 5.176642 3.288354 11.51981 14.56909 -3.209331 0.8904331 7.754987 -4.112074 3.129963 3 1 2
19.44748 -2.207631 13.86298 21.48236 8.219041 2.500144 21.22087 -12.26365 -2.711728 7.727763 3 1 5
12.66777 2.047927 3.266773 -14.61005 -3.440665 6.394063 33.43685 19.48168 20.38874 8.84812 3 1 8
21.45567 -4.782774 16.7675 16.44563 23.95582 18.59059 26.20925 0.2481788 -4.416057 12.71931 3 1 10
