P8_amp TP8_amp CP6_amp ROI_GA_amp P8_lat TP8_lat CP6_lat ROI_GA_lat emotion ID Trial hem
7.195993 2.197158 9.205593 6.199581 222.4449 222.4449 206.4128 217.1009 3 1 202 2
6.939745 -2.789267 -16.65067 -4.166732 206.4128 206.4128 206.4128 206.4128 3 1 205 2
-0.3457206 13.80391 -6.810898 2.215764 214.4289 214.4289 218.4369 215.7649 3 1 206 2
-19.73734 -5.361391 -20.04176 -15.04683 222.4449 206.4128 222.4449 217.1009 4 1 3 2
-4.258488 11.30713 0.6493999 2.566015 206.4128 206.4128 206.4128 206.4128 4 1 13 2
2.147683 -33.23178 -13.85699 -14.98036 222.4449 222.4449 222.4449 222.4449 4 1 18 2
-12.63278 -13.76638 -21.71634 -16.0385 206.4128 208.4168 214.4289 209.7528 4 1 24 2
-7.364454 -17.1966 -7.171432 -10.57749 218.4369 216.4329 220.4409 218.4369 4 1 33 2
4.408538 -7.364976 21.28962 6.111059 206.4128 212.4249 218.4369 212.4249 4 1 42 2
22.58052 -7.163918 27.39842 14.27168 206.4128 206.4128 206.4128 206.4128 4 1 46 2
-0.9215968 -1.433565 -21.95063 -8.101931 206.4128 206.4128 206.4128 206.4128 4 1 56 2
0.09158247 -12.4932 -6.425049 -6.275555 210.4208 210.4208 206.4128 209.0848 4 1 63 2
-0.6344926 -6.40774 7.410009 0.1225923 206.4128 210.4208 222.4449 213.0928 4 1 78 2
16.3082 -2.937248 10.30069 7.890547 206.4128 206.4128 206.4128 206.4128 4 1 83 2
-4.839504 -2.632257 -4.241881 -3.904547 214.4289 222.4449 210.4208 215.7649 4 1 88 2
21.91722 -3.734354 -4.950872 4.410664 222.4449 222.4449 222.4449 222.4449 4 1 99 2
17.68232 -2.489106 17.83467 11.00929 206.4128 206.4128 206.4128 206.4128 4 1 106 2
4.808325 -12.20888 2.770438 -1.543372 222.4449 222.4449 222.4449 222.4449 4 1 114 2
-10.765 -9.935426 -2.737584 -7.81267 208.4168 214.4289 206.4128 209.7528 4 1 121 2
-18.20645 14.99755 -31.93915 -11.71602 220.4409 222.4449 210.4208 217.7689 4 1 126 2
-8.869267 -9.518879 4.489015 -4.633044 218.4369 206.4128 214.4289 213.0928 4 1 133 2
11.47574 -13.30716 8.051667 2.073416 212.4249 222.4449 222.4449 219.1049 4 1 140 2
13.63195 -10.66117 15.10263 6.024473 206.4128 212.4249 206.4128 208.4168 4 1 145 2
-7.607134 -6.454377 0.8497922 -4.403906 222.4449 222.4449 222.4449 222.4449 4 1 156 2
-15.37027 -33.03937 3.371646 -15.01266 206.4128 218.4369 206.4128 210.4208 4 1 162 2
-3.131294 -17.4751 -1.401898 -7.336097 222.4449 222.4449 222.4449 222.4449 4 1 172 2
-12.3917 -31.50654 5.943868 -12.65146 206.4128 206.4128 222.4449 211.7569 4 1 178 2
5.517291 17.60803 6.380262 9.835194 206.4128 206.4128 206.4128 206.4128 4 1 186 2
5.829268 1.472718 4.280629 3.860872 206.4128 206.4128 206.4128 206.4128 4 1 195 2
-14.70983 -0.7977037 -21.18127 -12.2296 208.4168 208.4168 210.4208 209.0848 4 1 204 2
-8.251034 -4.473584 -13.33623 -8.686951 190.3808 190.3808 190.3808 190.3808 1 2 4 2
15.36856 7.144998 13.72128 12.07828 190.3808 190.3808 190.3808 190.3808 1 2 6 2
-21.99514 -7.175073 -1.60096 -10.25706 198.3968 190.3808 204.4088 197.7288 1 2 11 2
-1.522702 -20.56162 -20.00287 -14.02906 206.4128 190.3808 206.4128 201.0688 1 2 14 2
29.88338 -4.012532 5.731904 10.53425 204.4088 204.4088 204.4088 204.4088 1 2 16 2
8.44015 -3.969084 16.87411 7.115057 196.3928 196.3928 198.3968 197.0608 1 2 19 2
13.26038 20.41493 1.354946 11.67675 190.3808 190.3808 190.3808 190.3808 1 2 22 2
10.99895 -18.26623 -19.70663 -8.991306 206.4128 206.4128 206.4128 206.4128 1 2 27 2
18.19299 -24.29847 -1.438612 -2.514699 190.3808 190.3808 190.3808 190.3808 1 2 31 2
-30.84651 -24.37229 -33.64217 -29.62032 206.4128 206.4128 206.4128 206.4128 1 2 35 2
-7.453109 7.591361 27.0818 9.073351 198.3968 198.3968 190.3808 195.7248 1 2 37 2
4.503751 12.68117 -9.098433 2.695497 202.4048 200.4008 202.4048 201.7368 1 2 40 2
-8.506145 -6.409975 -40.47503 -18.46372 190.3808 206.4128 190.3808 195.7248 1 2 45 2
38.12988 10.96499 26.91186 25.33558 190.3808 194.3888 192.3848 192.3848 1 2 48 2
