amplitude ID time cond
2.950008 3 80.16032 2
2.946293 3 82.16433 2
2.928989 3 84.16833 2
2.883141 3 86.17235 2
2.835798 3 88.17635 2
2.828235 3 90.18036 2
2.883855 3 92.18437 2
3.010407 3 94.18838 2
3.178087 3 96.19238 2
3.346402 3 98.1964 2
3.520103 3 100.2004 2
3.717313 3 102.2044 2
3.953685 3 104.2084 2
4.244494 3 106.2124 2
4.575165 3 108.2164 2
4.905081 3 110.2204 2
5.201576 3 112.2244 2
5.452568 3 114.2285 2
5.669289 3 116.2325 2
5.88237 3 118.2365 2
6.110229 3 120.2405 2
6.346374 3 122.2445 2
6.576145 3 124.2485 2
6.772768 3 126.2525 2
6.90483 3 128.2565 2
6.964027 3 130.2605 2
6.958848 3 132.2645 2
6.876169 3 134.2685 2
6.693327 3 136.2726 2
6.40861 3 138.2766 2
6.031756 3 140.2806 2
5.582096 3 142.2846 2
5.087004 3 144.2886 2
4.567553 3 146.2926 2
4.046632 3 148.2966 2
3.544548 3 150.3006 2
3.066694 3 152.3046 2
2.606204 3 154.3086 2
2.138942 3 156.3126 2
1.65176 3 158.3166 2
1.152897 3 160.3206 2
0.6431401 3 162.3246 2
0.1210339 3 164.3287 2
-0.4049882 3 166.3327 2
-0.9334271 3 168.3367 2
-1.498805 3 170.3407 2
-2.136525 3 172.3447 2
-2.82395 3 174.3487 2
-3.50328 3 176.3527 2
-4.123992 3 178.3567 2
-4.672113 3 180.3607 2
-5.165791 3 182.3647 2
-5.63031 3 184.3687 2
-6.078159 3 186.3727 2
-6.49308 3 188.3768 2
-6.866446 3 190.3808 2
-7.219679 3 192.3848 2
-7.572223 3 194.3888 2
-7.926712 3 196.3928 2
-8.268626 3 198.3968 2
-8.586187 3 200.4008 2
-8.888923 3 202.4048 2
-9.179682 3 204.4088 2
-9.444924 3 206.4128 2
-9.686456 3 208.4168 2
-9.903368 3 210.4208 2
-10.07106 3 212.4249 2
-10.17032 3 214.4289 2
-10.19074 3 216.4329 2
-10.14081 3 218.4369 2
-10.05016 3 220.4409 2
-9.912702 3 222.4449 2
-9.693095 3 224.4489 2
-9.403042 3 226.4529 2
-9.083358 3 228.4569 2
-8.730028 3 230.4609 2
-8.318305 3 232.4649 2
-7.841228 3 234.4689 2
-7.291588 3 236.4729 2
-6.676115 3 238.477 2
-6.028473 3 240.481 2
-5.370099 3 242.485 2
-4.691152 3 244.489 2
-3.995652 3 246.493 2
-3.32212 3 248.497 2
-2.688755 3 250.501 2
-2.077141 3 252.505 2
-1.494033 3 254.509 2
-0.9695279 3 256.513 2
-0.4983584 3 258.517 2
-0.05651871 3 260.5211 2
0.3688064 3 262.5251 2
0.7748597 3 264.5291 2
1.139232 3 266.5331 2
1.455496 3 268.5371 2
1.741546 3 270.5411 2
2.012309 3 272.5451 2
2.284574 3 274.5491 2
2.569935 3 276.5531 2
2.856079 3 278.5571 2
3.123821 3 280.5611 2
3.380232 3 282.5651 2
3.635749 3 284.5692 2
3.883765 3 286.5732 2
4.139703 3 288.5771 2
4.440747 3 290.5812 2
4.788595 3 292.5852 2
5.147424 3 294.5892 2
5.482857 3 296.5932 2
5.772678 3 298.5972 2
6.006641 3 300.6012 2
6.183125 3 302.6052 2
6.299377 3 304.6092 2
6.360443 3 306.6132 2
6.385797 3 308.6172 2
6.390343 3 310.6212 2
6.374459 3 312.6252 2
6.344374 3 314.6293 2
6.31427 3 316.6333 2
6.279308 3 318.6373 2
6.226555 3 320.6413 2
6.160795 3 322.6453 2
6.111248 3 324.6493 2
6.108343 3 326.6533 2
6.132679 3 328.6573 2
6.127641 3 330.6613 2
6.057003 3 332.6653 2
5.951099 3 334.6693 2
5.863029 3 336.6733 2
5.766799 3 338.6774 2
5.603547 3 340.6814 2
5.374796 3 342.6854 2
5.127682 3 344.6894 2
4.90528 3 346.6934 2
4.729517 3 348.6974 2
4.603007 3 350.7014 2
4.512112 3 352.7054 2
4.446829 3 354.7094 2
4.413669 3 356.7134 2
4.434459 3 358.7174 2
4.528051 3 360.7214 2
4.691641 3 362.7255 2
4.903261 3 364.7295 2
5.136877 3 366.7335 2
5.37845 3 368.7375 2
5.632099 3 370.7415 2
5.895905 3 372.7455 2
6.167314 3 374.7495 2
6.462281 3 376.7535 2
6.766644 3 378.7575 2
7.034876 3 380.7615 2
7.245323 3 382.7655 2
7.423227 3 384.7695 2
7.612095 3 386.7736 2
7.822683 3 388.7776 2
8.028255 3 390.7816 2
8.200089 3 392.7856 2
8.323691 3 394.7896 2
8.401954 3 396.7936 2
8.463304 3 398.7976 2
8.527831 3 400.8016 2
8.590341 3 402.8056 2
8.650213 3 404.8096 2
8.71104 3 406.8136 2
8.758484 3 408.8176 2
8.781707 3 410.8217 2
8.794169 3 412.8257 2
8.802018 3 414.8297 2
8.799615 3 416.8337 2
8.803845 3 418.8377 2
8.842193 3 420.8417 2
8.921326 3 422.8457 2
9.027688 3 424.8497 2
9.142322 3 426.8537 2
9.2343 3 428.8577 2
9.272915 3 430.8617 2
9.247818 3 432.8657 2
9.14759 3 434.8698 2
8.9827 3 436.8737 2
8.798057 3 438.8777 2
8.624826 3 440.8818 2
8.469431 3 442.8858 2
8.330957 3 444.8898 2
8.20576 3 446.8938 2
8.064857 3 448.8978 2
7.879098 3 450.9018 2
7.677167 3 452.9058 2
7.517045 3 454.9098 2
7.427505 3 456.9138 2
7.390797 3 458.9178 2
7.369759 3 460.9218 2
7.336693 3 462.9258 2
7.292128 3 464.9299 2
7.268989 3 466.9339 2
7.28208 3 468.9379 2
7.30079 3 470.9419 2
7.305288 3 472.9459 2
7.306727 3 474.9499 2
7.325339 3 476.9539 2
7.377724 3 478.9579 2
7.435238 3 480.9619 2
7.43198 3 482.9659 2
7.34269 3 484.9699 2
7.207127 3 486.9739 2
7.075338 3 488.978 2
6.960343 3 490.982 2
6.848817 3 492.986 2
6.713618 3 494.99 2
6.533835 3 496.994 2
6.303092 3 498.998 2
6.022353 3 501.002 2
5.71478 3 503.006 2
5.415445 3 505.01 2
5.15748 3 507.014 2
4.971349 3 509.018 2
4.870181 3 511.022 2
4.826591 3 513.0261 2
4.779555 3 515.0301 2
4.707283 3 517.0341 2
4.630322 3 519.0381 2
4.532024 3 521.0421 2
4.376329 3 523.0461 2
4.150135 3 525.0501 2
3.853846 3 527.0541 2
3.510435 3 529.0581 2
3.156253 3 531.0621 2
2.811698 3 533.0662 2
2.48945 3 535.0701 2
2.213707 3 537.0742 2
1.997826 3 539.0782 2
1.843121 3 541.0822 2
1.750387 3 543.0862 2
1.706267 3 545.0902 2
1.682373 3 547.0942 2
1.649151 3 549.0982 2
1.612418 3 551.1022 2
1.624225 3 553.1062 2
1.715354 3 555.1102 2
1.848576 3 557.1143 2
1.965655 3 559.1182 2
2.043235 3 561.1223 2
2.094309 3 563.1263 2
2.145302 3 565.1302 2
2.19923 3 567.1343 2
2.215996 3 569.1383 2
2.167679 3 571.1423 2
2.072426 3 573.1463 2
1.965525 3 575.1503 2
1.864559 3 577.1543 2
1.757119 3 579.1583 2
1.641883 3 581.1624 2
1.529909 3 583.1663 2
1.415649 3 585.1703 2
1.312081 3 587.1744 2
1.246196 3 589.1783 2
1.216355 3 591.1824 2
1.194219 3 593.1864 2
1.151094 3 595.1904 2
1.090904 3 597.1944 2
1.044343 3 599.1984 2
1.032136 3 601.2024 2
1.050896 3 603.2064 2
1.08549 3 605.2104 2
1.122846 3 607.2144 2
1.148486 3 609.2184 2
1.137395 3 611.2225 2
1.073252 3 613.2264 2
0.973794 3 615.2305 2
0.8493733 3 617.2345 2
0.7024382 3 619.2385 2
0.5725868 3 621.2425 2
0.4851465 3 623.2465 2
0.4238086 3 625.2505 2
0.3758089 3 627.2545 2
0.358585 3 629.2585 2
0.4034128 3 631.2625 2
0.5191167 3 633.2665 2
0.7012172 3 635.2706 2
0.9404113 3 637.2745 2
1.213223 3 639.2786 2
1.503301 3 641.2826 2
1.807461 3 643.2866 2
2.117383 3 645.2906 2
2.404739 3 647.2946 2
2.645944 3 649.2986 2
2.845883 3 651.3026 2
3.008909 3 653.3066 2
3.121391 3 655.3106 2
3.162476 3 657.3146 2
3.118625 3 659.3187 2
3.018619 3 661.3226 2
2.920633 3 663.3267 2
2.838678 3 665.3307 2
2.745781 3 667.3347 2
2.632909 3 669.3387 2
2.497415 3 671.3427 2
2.323264 3 673.3467 2
2.120062 3 675.3507 2
1.914432 3 677.3547 2
1.707209 3 679.3587 2
1.48702 3 681.3627 2
1.267565 3 683.3668 2
1.06632 3 685.3707 2
0.8844921 3 687.3748 2
0.7285125 3 689.3788 2
0.5893292 3 691.3828 2
0.446565 3 693.3868 2
0.3168616 3 695.3908 2
0.2289654 3 697.3948 2
0.1840129 3 699.3988 2
0.1665249 3 701.4028 2
0.1532757 3 703.4068 2
0.1157807 3 705.4108 2
0.04451926 3 707.4149 2
-0.0360651 3 709.4188 2
-0.08761009 3 711.4229 2
-0.09115919 3 713.4269 2
-0.05812184 3 715.4308 2
-0.01276954 3 717.4349 2
0.04921849 3 719.4389 2
0.1496407 3 721.4429 2
0.27812 3 723.4469 2
0.4138344 3 725.4509 2
0.5769636 3 727.4549 2
0.8097045 3 729.4589 2
1.127576 3 731.463 2
1.505464 3 733.4669 2
1.896437 3 735.4709 2
2.271346 3 737.475 2
2.638903 3 739.4789 2
2.998707 3 741.483 2
3.316079 3 743.487 2
3.577347 3 745.491 2
3.79882 3 747.495 2
3.989124 3 749.499 2
4.160452 3 751.503 2
4.322663 3 753.507 2
4.460613 3 755.511 2
4.570984 3 757.515 2
4.682657 3 759.519 2
4.821362 3 761.5231 2
4.984512 3 763.527 2
5.140182 3 765.5311 2
5.247831 3 767.5351 2
5.307 3 769.5391 2
5.35542 3 771.5431 2
5.407946 3 773.5471 2
5.460808 3 775.5511 2
5.521108 3 777.5551 2
5.585004 3 779.5591 2
5.624547 3 781.5631 2
5.62155 3 783.5671 2
5.604559 3 785.5712 2
5.622237 3 787.5751 2
5.684289 3 789.5792 2
5.748281 3 791.5832 2
5.756176 3 793.5872 2
5.671913 3 795.5912 2
5.498497 3 797.5952 2
5.260231 3 799.5992 2
5.005094 3 801.6032 2
4.790803 3 803.6072 2
4.63698 3 805.6112 2
4.502756 3 807.6152 2
4.307478 3 809.6193 2
4.016563 3 811.6232 2
3.692591 3 813.6273 2
3.411499 3 815.6313 2
3.183648 3 817.6353 2
2.987555 3 819.6393 2
2.814852 3 821.6433 2
2.664443 3 823.6473 2
2.549929 3 825.6513 2
2.501253 3 827.6553 2
2.52157 3 829.6593 2
2.59356 3 831.6633 2
2.72132 3 833.6674 2
2.909267 3 835.6713 2
3.125543 3 837.6754 2
3.333854 3 839.6794 2
3.527369 3 841.6833 2
3.697955 3 843.6874 2
3.817094 3 845.6914 2
3.860066 3 847.6954 2
3.850085 3 849.6994 2
3.850413 3 851.7034 2
3.887735 3 853.7074 2
3.936997 3 855.7114 2
3.945063 3 857.7155 2
3.852087 3 859.7194 2
3.664285 3 861.7234 2
3.467067 3 863.7275 2
3.311158 3 865.7314 2
3.165342 3 867.7355 2
2.998728 3 869.7395 2
2.802125 3 871.7435 2
2.564437 3 873.7475 2
2.309884 3 875.7515 2
2.074473 3 877.7555 2
1.861903 3 879.7595 2
1.67598 3 881.7635 2
1.526997 3 883.7675 2
1.421161 3 885.7715 2
1.365158 3 887.7756 2
1.342016 3 889.7795 2
1.31977 3 891.7836 2
1.296077 3 893.7876 2
1.275425 3 895.7916 2
1.238256 3 897.7956 2
1.177825 3 899.7996 2
1.115453 3 901.8036 2
1.077338 3 903.8076 2
1.052183 3 905.8116 2
0.9811376 3 907.8156 2
0.82868 3 909.8196 2
0.6161969 3 911.8237 2
0.3901574 3 913.8276 2
0.1948093 3 915.8317 2
0.05639808 3 917.8357 2
-0.02854761 3 919.8397 2
-0.07795906 3 921.8437 2
-0.07941087 3 923.8477 2
-0.01701991 3 925.8517 2
0.109011 3 927.8557 2
0.3172916 3 929.8597 2
0.6074225 3 931.8637 2
0.9458749 3 933.8677 2
1.317214 3 935.8718 2
1.713791 3 937.8757 2
2.126706 3 939.8798 2
2.557624 3 941.8838 2
2.994184 3 943.8878 2
3.410242 3 945.8918 2
3.793674 3 947.8958 2
4.137184 3 949.8998 2
4.429159 3 951.9038 2
4.670962 3 953.9078 2
4.889349 3 955.9118 2
5.097673 3 957.9158 2
